"HOME", "casa"
"Mage_Checkout::You have no items in your shopping cart.", "No tiene artículos en su carrito de compras."
"Mage_Newsletter::SIGN UP FOR OUR WEEKLY NEWSLETTER !", "!Suscríbase a nuestro boletín!"
"Mage_Checkout::Shopping Cart is Empty", "Su cesta de la compra está vacía"
"Mage_Page::Language:", "Idioma:"
"my cart", "carrito"
"Categories", "Categorías"
"A Godê", "Sobre Nosotros"
"Login with Facebook", "Entrar con Facebook"
"Sort By", "Ordenar por"
"Login or Create an Account", "Ingresar o crear una cuenta"
"Login", "Ingressar"
"Ou entre com a sua conta da Godê", "O inicia sesión con tu conta Godê"
"* required fields", "* campos obligatorios"
"Or create an account", "O crear una cuenta"
"Password", "Contraseña"
"Confirm Password", "Confirmar la contraseña"
"Sign Up for Newsletter", "Suscríbase a nuestro boletín"
"Related Products", "Productos Relacionados"
"from", "desde"
