"HOME", "casa"
"Mage_Checkout::You have no items in your shopping cart.", "Você não tem produtos no seu carrinho."
"Mage_Newsletter::SIGN UP FOR OUR WEEKLY NEWSLETTER !", "Assine o nosso newsletter!"
"Mage_Checkout::Shopping Cart is Empty", "O seu carrinho de compras está vazio"
"Mage_Page::Language:", "Idioma:"
"my cart", "carrinho"
"Categories", "Categorias"
"Login with Facebook", "Entrar com Facebook"
"Partilhar", "Compartilhar"
"Sort By", "Ordenar por"
"Go to shopping cart", "Ir ao carrinho"
"Continue Shopping", "Continuar Comprando"
"Go to wishlist", "Ir à lista de desejos"
"Go to list Compare", "Ir à lista de comparação"
"Are you sure you would like to remove this item?", "Tem certeza que quer remover este item?"
"Item was successfully added to your Cart", "Item adicionado ao seu carrinho"
"Item was successfully added to your Wishlist", "Item adicionado à sua lista de desejos"
"Item was successfully added to your Compare", "Item adicionado à lista de comparação"
"Login or Create an Account", "Logar ou criar uma conta"
"Login", "Logar"
"Login with Facebook", "Logar com o Facebook"
"* required fields", "* campos obrigatórios"
"Or create an account", "Ou crie uma conta"
"Password", "Senha"
"Confirm Password", "Confirma Senha"
"Sign Up for Newsletter", "Assine o newsletter"
"Customer with email (%s) already exists in the database. If you are sure that it is your email address, please <a href="%s">click here</a> to retrieve your password and access your account.", "Um usuário com o e-mail (%s) já existe em nosso banco de dados. Se você tem certeza que este é o seu e-mail, por favor <a href="%s">clique aqui</a> para recuperar a sua senha e acessar a sua conta."
"Customer registration successful.", "Registro completado com sucesso"
"Customer registration successful. Your password was send to the email: %s", "Registro completado com sucesso. A sua senha foi enviada para o e-mail: %s"
"My Dashboard", "Minhas Informações"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.", "Nesse painel você poderá monitorar as atividades de sua conta e alterar o seu cadastro."
"Contact Information", "Informações de Contato"
"Newsletters", "Newsletters"
"Address Book", "Endereços"
"Default Billing Address", "Endereço de Cobrança"
"Default Shipping Address", "Endereço de Entrega"
"Gender", "Sexo"
"Edit Account Information", "Editar informações da conta"
"You are now logged out", "Você saiu"
"You have logged out and will be redirected to our homepage in 5 seconds.", "Você saiu do sistema e será redirecionado à página inicial em 5 segundos."
"Remember Me", "Lembrar"
"You have not set a default billing address.", "Você não configurou um endereço de cobrança."
"Returning Customers", "Já sou cliente"
"You have not set a default shipping address.", "Você não configurou um endereço de entrega."
"Area", "Bairro"
"You have no default billing address in your address book.", "Vodê não tem endereço de cobrança registrado"
"Please enter a valid email address.", "Por favor use um endereço de e-mail válido."
"Sorry, but administrator denied subscription for guests. Please <a href="%s">register</a>.", "Desculpe mas o administrador recusou a inscrição por visitantes. Por favor Please <a href="%s">registre</a>."
"This email address is already assigned to another user.", "Este e-mail já está relacionado a um outro usuário"
"Confirmation request has been sent.", "A confirmação foi enviada."
"Thank you for your subscription.", "Obrigado pela sua inscrição."
"There was a problem with the subscription: %s", "Houve um problema com a sua inscrição: %s"
"There was a problem with the subscription.", "Houve um problema com a inscrição"
"Your subscription has been confirmed.", "A sua inscrição foi confirmada"
"Invalid subscription confirmation code.", "Código de inscrição inválido"
"Invalid subscription ID.", "ID de inscrição inválido."
"You have been unsubscribed.", "A sua inscrição foi cancelada"
"There was a problem with the un-subscription.", "Houve um problema com a sua re-inscrição"
"The subscription has been saved.", "A sua inscrição foi salva"
"Related Products", "Produtos Relacionados"
"-OR-", "-OU-"
"OR", "OU"
"Street Address", "Rua e Número"
"Street Address %s", "Bairro"
"Register and Checkout", "Registrar-se e Finalizar"
"Sign in to speed up your checkout process", "Ou entre com a sua conta da Godê"
"Please type the letters below", "Por favor, transcreva as letras da imagem abaixo"
"Ship To", "Enviar Para"
"Click <a href=""%s"">here</a> to continue shopping.", "Clique <a href=""%s"">aqui</a> para continuar comprando."
"Availability:", "Disponibilidade:"
"Checkout Method", "Os Seus Detalhes"
